nose_x,nose_y,nose_z,nose_Visibility,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_Visibility,left_eye_x,left_eye_y,left_eye_z,left_eye_Visibility,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_Visibility,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_Visibility,right_eye_x,right_eye_y,right_eye_z,right_eye_Visibility,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_Visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_Visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_Visibility,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_Visibility,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_Visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_Visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_Visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_Visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_Visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_Visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_Visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_Visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_Visibility,left_index_x,left_index_y,left_index_z,left_index_Visibility,right_index_x,right_index_y,right_index_z,right_index_Visibility,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_Visibility,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_Visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_Visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_Visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_Visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_Visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_Visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_Visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_Visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_Visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_Visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_Visibility,Yoga_Pose
0.570795357,0.601232111,0.604317844,0.607827365,0.60229063,0.605523109,0.608667016,0.623606324,0.617206037,0.567312896,0.567483246,0.601574421,0.56694591,0.688901603,0.663115621,0.772698522,0.769550622,0.812628567,0.808360755,0.812126637,0.81742239,0.797735214,0.803964019,0.430686444,0.403709084,0.319324434,0.303379476,0.234349176,0.193783492,0.214714512,0.15851672,0.253341675,0.25900951,0.471654356,0.483243614,0.484586746,0.486370414,0.486387551,0.489346921,0.492640167,0.506727636,0.513824701,0.473144591,0.476947516,0.472909659,0.534319103,0.433246464,0.585603416,0.446457446,0.686438859,0.448247492,0.732318342,0.454767048,0.733549654,0.453310341,0.731570542,0.391848236,0.43079254,0.255090088,0.371742338,0.175000951,0.402293533,0.158579588,0.417523712,0.22058101,0.388823271,0.557716846,0.579931736,0.582057953,0.584868968,0.583173096,0.586897314,0.590946376,0.607080519,0.609649658,0.555193663,0.558458447,0.599648476,0.600892901,0.690815806,0.705135465,0.804655731,0.827842116,0.847146869,0.862875342,0.849796951,0.874312878,0.834638238,0.859372914,0.38388589,0.373724669,0.257231832,0.237550825,0.164575621,0.131856069,0.127118379,0.092131101,0.286308944,0.257469863,0.624005318,0.647635758,0.650019646,0.652651489,0.647736132,0.649952233,0.652190685,0.662448764,0.658894539,0.615002751,0.616102517,0.636892438,0.620805323,0.71524632,0.704937279,0.805442452,0.809198499,0.841850579,0.846870065,0.845216632,0.857293606,0.834362388,0.842043221,0.397002637,0.381593883,0.262446046,0.247071341,0.13774693,0.126914755,0.107530773,0.08792118,0.221172914,0.212957844,adho_mukha_svanasana
0.587931156,0.614595294,0.616648018,0.618557274,0.613142014,0.614221275,0.615025818,0.621882021,0.612195671,0.578010201,0.576492965,0.597162902,0.562156558,0.669957042,0.640741885,0.740593612,0.737268507,0.783089042,0.773923278,0.781918883,0.782214522,0.766601264,0.771348596,0.387789488,0.371501118,0.293741077,0.269807756,0.168584749,0.141301095,0.127093703,0.095799007,0.253274024,0.231359437,0.559413254,0.581169963,0.582641006,0.584697723,0.582851827,0.585029185,0.587471306,0.597548902,0.594168961,0.552627921,0.553284347,0.566339314,0.55809468,0.653484762,0.651205182,0.741626084,0.761681259,0.780174375,0.80039686,0.779459059,0.8043046,0.767799675,0.792893112,0.387994379,0.384849876,0.260773718,0.259677351,0.154957741,0.142783284,0.121919192,0.109060608,0.21845898,0.21245338,0.551037848,0.573857367,0.57651943,0.579322517,0.575526059,0.578838825,0.582256019,0.605268061,0.606035233,0.550928831,0.552473366,0.592671275,0.597301126,0.684308648,0.676356494,0.786223531,0.805575371,0.82239306,0.844293296,0.821293831,0.851232409,0.809201777,0.837908626,0.399107695,0.409072071,0.335208863,0.326313078,0.179181188,0.164397508,0.132167757,0.118110336,0.251298994,0.237390727,0.645722508,0.674759269,0.677792907,0.680676818,0.673472703,0.675314009,0.677011907,0.687816024,0.680968583,0.633876503,0.63333714,0.645084977,0.625320077,0.71107626,0.714849889,0.779508948,0.841343999,0.801472664,0.89741677,0.80934608,0.904837787,0.801874816,0.886141479,0.386276335,0.352155268,0.292369992,0.226179853,0.108477712,0.086984992,0.169484898,0.057810605,0.207866281,0.199356809,adho_mukha_svanasana
0.431000739,0.452138901,0.457035691,0.461523205,0.439898819,0.437105447,0.433704853,0.482627541,0.433595717,0.430869877,0.420607001,0.536697865,0.374270201,0.612885773,0.418657303,0.70984,0.517310679,0.75711596,0.540001869,0.750296712,0.555190325,0.730939746,0.551155508,0.338105887,0.24684456,0.347870678,0.215487793,0.292059481,0.176193088,0.27510643,0.159407973,0.30594644,0.188682899,0.356920063,0.328355819,0.326769143,0.324786365,0.328286082,0.326721728,0.324606746,0.318192333,0.317431211,0.370842934,0.372467816,0.355216116,0.36172232,0.273343444,0.271223903,0.154211968,0.175756305,0.110948242,0.135528058,0.100840844,0.132595778,0.11959108,0.145178631,0.62456876,0.619904816,0.784649074,0.767672837,0.900236428,0.887850761,0.944081187,0.923479736,0.784080803,0.766970336,0.400837839,0.382734478,0.380050749,0.377167881,0.382852465,0.380178601,0.377121389,0.352813393,0.352583706,0.400401413,0.402227074,0.347125202,0.368418694,0.278852165,0.285991579,0.178000808,0.219051436,0.13946259,0.180035919,0.126714796,0.186104372,0.146639988,0.200855464,0.578165829,0.5712412,0.700707138,0.691354156,0.800814033,0.793653965,0.839800358,0.827591598,0.73056227,0.725348949,0.445921421,0.426805943,0.42313537,0.419160903,0.427130699,0.423888624,0.420204192,0.393220484,0.392798841,0.435946137,0.438993692,0.383553326,0.384739071,0.267468363,0.271107912,0.095073424,0.137249202,0.050453842,0.098006047,0.041990995,0.092676401,0.054958761,0.105357803,0.580461979,0.576336086,0.747297347,0.741959929,0.930322349,0.915082812,0.972411096,0.959074318,0.857581437,0.836230397,adho_mukha_svanasana
0.424992234,0.395923555,0.391164482,0.386148125,0.397356421,0.393838555,0.389796197,0.356112182,0.360497773,0.421756446,0.425561935,0.354731947,0.385260731,0.263160646,0.290350467,0.14633739,0.166999578,0.098952174,0.119369544,0.094249964,0.11829257,0.112086415,0.136804998,0.606081307,0.611095726,0.747302413,0.748952687,0.905407608,0.892089248,0.944905639,0.929847777,0.808527827,0.793969512,0.332561821,0.312463254,0.311561257,0.310675085,0.311275154,0.309402049,0.307248443,0.309611738,0.303063571,0.341198683,0.34079808,0.356281072,0.335146844,0.302874893,0.289347947,0.229238436,0.23123543,0.212889746,0.210213453,0.2062985,0.207000703,0.211193159,0.213365957,0.52384901,0.493442088,0.615855873,0.570953727,0.708276451,0.67987901,0.733018041,0.70025146,0.66749841,0.640844762,0.544638276,0.567906618,0.562983453,0.564960659,0.562044978,0.56546706,0.568919957,0.586994231,0.590315223,0.542329907,0.543752909,0.527766585,0.593162715,0.4410882,0.622079015,0.361170709,0.75860554,0.337179273,0.788183331,0.342802525,0.797264934,0.355258703,0.780680835,0.458151996,0.487461329,0.278719991,0.384283245,0.299448669,0.34327516,0.301429361,0.351519912,0.337126881,0.314294487,0.422722518,0.398199588,0.395421654,0.39241156,0.3996737,0.398193061,0.396461487,0.379062831,0.387182385,0.427471727,0.431133986,0.385405481,0.433675528,0.334119797,0.379208803,0.23567006,0.276210308,0.189396977,0.24152872,0.185159713,0.236916542,0.201773643,0.248898238,0.592521667,0.605746686,0.726584733,0.713934779,0.843565345,0.820194066,0.883454204,0.86328423,0.74964869,0.742033958,adho_mukha_svanasana
0.395781368,0.389866054,0.398707628,0.408142626,0.364969581,0.356941223,0.348644078,0.42000255,0.332358122,0.417603076,0.393554419,0.550266147,0.312782079,0.535200953,0.213800937,0.48050943,0.090695262,0.465617836,0.041682124,0.441138357,0.058496952,0.442398578,0.083067454,0.710438251,0.573314369,0.793231547,0.618304551,0.873786628,0.772710204,0.904044628,0.697566032,0.820058525,0.702488542,0.452446491,0.454309523,0.458822966,0.463589996,0.438730061,0.431944102,0.425023615,0.464681655,0.405660927,0.460941464,0.442603439,0.530897617,0.348799676,0.503666878,0.283576369,0.427437246,0.160452768,0.40754962,0.11937698,0.382975727,0.135667652,0.384632111,0.163637474,0.624952674,0.504456639,0.726215065,0.578502357,0.786744058,0.680429339,0.80617702,0.730813622,0.753605843,0.619113624,0.507911861,0.487531334,0.483862698,0.480035961,0.487490028,0.483763427,0.479585558,0.448221654,0.447020084,0.498652458,0.499308854,0.423481524,0.418684661,0.302618265,0.310612917,0.141218215,0.175755665,0.094083548,0.132537156,0.087794028,0.137289494,0.110792518,0.151125759,0.579178274,0.567721546,0.725643814,0.709092975,0.848439097,0.841028869,0.877905726,0.899238586,0.800309539,0.782723486,0.595696867,0.618400931,0.620729744,0.623461425,0.619640052,0.622429311,0.62538296,0.64505136,0.646067619,0.591920197,0.591722429,0.640168726,0.61517781,0.727546096,0.719382167,0.842471957,0.849559784,0.890342593,0.890595317,0.89198786,0.904354692,0.877966285,0.889713407,0.372222602,0.356031179,0.22844927,0.216955438,0.091195166,0.077223502,0.054390192,0.03501749,0.178027242,0.168323562,adho_mukha_svanasana
0.567782104,0.580197394,0.580704689,0.581832528,0.586233795,0.590646386,0.59546721,0.593631446,0.609614789,0.563966393,0.568463385,0.530582368,0.60510689,0.506720424,0.64799732,0.611516833,0.713385284,0.633132279,0.734751523,0.62765342,0.736255646,0.623873889,0.72688967,0.435263842,0.478137732,0.358848751,0.383349508,0.273516297,0.300777376,0.212897271,0.266272306,0.310016453,0.35826534,0.553398728,0.569418311,0.572249711,0.575539291,0.568235993,0.569610953,0.570951223,0.600892365,0.5860008,0.554875493,0.553518713,0.606705546,0.590772271,0.670838773,0.692097783,0.760563374,0.80161047,0.788979471,0.83632195,0.786387742,0.839562476,0.775561333,0.820295751,0.419543743,0.384774536,0.457588166,0.30561471,0.561915159,0.232295111,0.512028813,0.200209007,0.562294722,0.283643395,0.500498772,0.486182064,0.483792067,0.481296957,0.4862414,0.484032571,0.481641769,0.463614613,0.464957982,0.496876061,0.498441219,0.457351148,0.458403647,0.408107132,0.413229078,0.315161318,0.342678636,0.293602407,0.313664764,0.288548797,0.313845068,0.29534173,0.322798669,0.646143138,0.63562423,0.740535676,0.718110561,0.827815175,0.810928524,0.856371224,0.830688357,0.773374856,0.758057475,0.539249003,0.557837069,0.563981354,0.570222259,0.541369557,0.53598243,0.529758692,0.584351242,0.515437365,0.539689183,0.520388007,0.625082493,0.413469285,0.677544475,0.434681624,0.774623871,0.511552811,0.816899657,0.531393111,0.799666107,0.553896368,0.775281608,0.551225066,0.454628199,0.330929577,0.400790066,0.281802356,0.34662661,0.252148747,0.325508922,0.233267382,0.372014999,0.30474332,adho_mukha_svanasana
0.552969217,0.573332727,0.575490415,0.578180313,0.576704562,0.580658257,0.585028291,0.605944455,0.609490514,0.554091454,0.558873832,0.598130524,0.621697307,0.687813461,0.710073471,0.832203925,0.884459972,0.87757808,0.930765569,0.888681412,0.941280961,0.869730294,0.923699677,0.39987573,0.394946903,0.284036696,0.264276266,0.19801487,0.152331799,0.144101784,0.111782275,0.251545787,0.222694397,0.616762757,0.630393863,0.631869614,0.633918881,0.632171571,0.634572685,0.637370408,0.653502941,0.651550293,0.614613831,0.616842389,0.638801992,0.638870239,0.691292703,0.716150403,0.750270784,0.818549454,0.778925419,0.850205839,0.783444047,0.853830934,0.772556603,0.843309402,0.451232255,0.449720085,0.346669018,0.340650141,0.259621143,0.24349685,0.223840877,0.206330419,0.326087803,0.309414327,0.426924258,0.398693323,0.394488007,0.39012748,0.399638325,0.396502912,0.393158138,0.36547789,0.373624057,0.423898369,0.426774234,0.356452733,0.407457024,0.267501473,0.297245234,0.121300541,0.180832535,0.068446577,0.132993281,0.061336935,0.13002947,0.081483483,0.140947789,0.584727705,0.612383842,0.727104843,0.726891577,0.911364853,0.901102543,0.968603015,0.93572098,0.816358387,0.792641342,0.489575595,0.50312376,0.507280946,0.511441112,0.489590466,0.486846685,0.484167963,0.525539935,0.491678387,0.492259234,0.481819481,0.542940021,0.447253942,0.608762085,0.484945327,0.691601157,0.557915747,0.720189452,0.568733931,0.71752125,0.58361274,0.701075077,0.579546452,0.42301926,0.357127041,0.39176923,0.347969115,0.334108084,0.28443107,0.311039507,0.270480126,0.368218809,0.341390759,adho_mukha_svanasana
0.561594665,0.583398223,0.597970843,0.611478209,0.533012867,0.51410687,0.496692181,0.633562028,0.462264866,0.586405754,0.524026573,0.767627418,0.312708199,0.794854045,0.258277565,0.836227417,0.184839562,0.873537183,0.133773029,0.8827461,0.137968689,0.858907402,0.158635885,0.656711996,0.373666942,0.793500364,0.122879349,0.431142777,0.60981065,0.367410988,0.644393981,0.253957272,0.775025427,0.533549309,0.546845317,0.55521673,0.56394738,0.516390562,0.502101302,0.486244261,0.557152569,0.441726208,0.540065944,0.50296551,0.629092872,0.289331645,0.685179412,0.207419246,0.838150024,0.139207929,0.902713895,0.089127839,0.917929113,0.108142436,0.892268658,0.136888742,0.548604608,0.341719002,0.857415259,0.346618921,0.548540652,0.57144469,0.512664497,0.589333057,0.440175384,0.712426305,0.521573544,0.547733545,0.562558413,0.577706039,0.492676884,0.474811554,0.458706558,0.597982824,0.439840615,0.554569781,0.48830986,0.733251572,0.300895721,0.847138345,0.177401632,0.937492073,0.143393606,0.971217453,0.109984793,0.94167906,0.136334628,0.916815102,0.163289338,0.651087224,0.378033072,0.945034862,0.09701407,0.398462296,0.616213918,0.358285725,0.642584682,0.158438683,0.840139568,0.577694774,0.603535533,0.620535553,0.637625694,0.543364525,0.521778822,0.502866566,0.668127894,0.482085943,0.615382671,0.54432863,0.832811654,0.355919063,0.935991585,0.290548503,0.841195881,0.191953495,0.846847355,0.157911211,0.81528151,0.16761294,0.810468972,0.192573696,0.773492157,0.503145516,0.922333241,0.103516936,0.471035212,0.748460352,0.445285082,0.802247882,0.21989581,0.995465875,adho_mukha_svanasana
0.498718411,0.5269081,0.540182948,0.553052783,0.479045361,0.462258607,0.446102887,0.574379146,0.422997177,0.526177347,0.466483027,0.680654943,0.302999496,0.769892335,0.232935831,0.86268872,0.151335403,0.927924812,0.092986263,0.903784633,0.109868251,0.871149659,0.141976863,0.597152412,0.37402454,0.796219528,0.155668736,0.269932568,0.645608366,0.245048746,0.682734013,0.071689643,0.844677269,0.256199926,0.264278084,0.278682739,0.294877052,0.225524783,0.215013266,0.206010982,0.334792554,0.198825806,0.302426964,0.244158119,0.522723794,0.173734069,0.698574543,0.171417117,0.85630697,0.091052212,0.923005462,0.055144817,0.90228188,0.0453794,0.872899413,0.071364582,0.60425508,0.366072595,0.929164588,0.077585876,0.377456993,0.653453827,0.331146806,0.665056229,0.124235474,0.862401485,0.561093509,0.577425301,0.59096849,0.602267563,0.535254061,0.5182212,0.500159204,0.610633433,0.464084476,0.583459318,0.529415488,0.74686718,0.319923848,0.811413646,0.240268067,0.886787891,0.164597392,0.930501163,0.11796236,0.939705729,0.129303992,0.914529324,0.159381151,0.639192879,0.396257639,0.897537291,0.211017206,0.372178316,0.732738912,0.337425649,0.795698285,0.165485293,0.90853399,0.464413494,0.493615329,0.509212315,0.522543967,0.438560009,0.419016838,0.402395099,0.551178634,0.385949582,0.499996662,0.434751004,0.705477059,0.247680739,0.792151928,0.143205613,0.827275395,0.141927928,0.858796239,0.110732637,0.839547634,0.122825347,0.82194978,0.140689045,0.593554914,0.335318714,0.894313455,0.0219374,0.350386381,0.332473516,0.276856631,0.370664358,0.096734226,0.480721623,adho_mukha_svanasana
0.577410698,0.573966026,0.57774955,0.581239998,0.553558469,0.54213047,0.528998196,0.562048614,0.488252223,0.580469072,0.558088064,0.607230008,0.382212639,0.601454675,0.252997398,0.621221483,0.116671026,0.640308559,0.071559966,0.6272856,0.08677832,0.611704171,0.105840243,0.580233216,0.449987948,0.908020675,0.65820539,0.609084785,0.835205734,0.585066497,0.858631015,0.560139477,0.982890785,0.584954381,0.613556564,0.62821734,0.642497599,0.562510908,0.542265534,0.522989571,0.667734981,0.492861032,0.612793565,0.545824111,0.7937482,0.351691872,0.66413945,0.117138661,0.364634842,0.120704211,0.280901909,0.107907593,0.250096828,0.148390651,0.26840961,0.177535325,0.683865547,0.44634366,0.952673614,0.113023199,0.300830662,0.824104786,0.24653542,0.890770614,0.064894289,1.089593649,0.50214237,0.528270125,0.542615414,0.556777835,0.482441157,0.467591822,0.45394963,0.584536254,0.43460533,0.535671353,0.474559367,0.730333447,0.309070915,0.823655188,0.197033495,0.90894413,0.111983895,0.938114345,0.068986326,0.927499175,0.082874499,0.911332726,0.102164306,0.647125363,0.39161548,0.96483928,0.121810518,0.466459841,0.5938254,0.409581035,0.61901933,0.251516938,0.763265193,0.425800949,0.419761181,0.426115751,0.431725532,0.390869468,0.374033213,0.354728371,0.399324328,0.289481699,0.431392193,0.396988153,0.483104557,0.136177629,0.617989004,0.126101092,0.514841259,0.441535056,0.526952147,0.507599473,0.516909242,0.505284905,0.506549239,0.482588142,0.369677514,0.160304561,0.664034247,0.111166634,0.802951932,0.507683158,0.798898041,0.540919065,0.929085255,0.692748427,adho_mukha_svanasana
